Month,VAMI,Month,VAMI
Aug 19,2924.43,Sep-09,1057.08
Jul 19,2980.38,Oct-09,1036.19
Jun 19,2941.76,Nov-09,1095.63
May 19,2752.06,Dec-09,1115.1
Apr 19,2945.83,Jan-10,1073.87
Mar 19,2834.4,Feb-10,1104.49
Feb 19,2784.49,Mar-10,1169.43
Jan 19,2704.1,Apr-10,1186.69
Dec 18,2506.85,May-10,1089.41
Nov 18,2760.17,Jun-10,1030.71
Oct 18,2711.74,Jul-10,1101.6
Sep 18,2913.98,Aug-10,1049.33
Aug 18,2901.52,Sep-10,1141.2
Jul 18,2816.29,Oct-10,1183.26
Jun 18,2718.37,Nov-10,1180.55
May 18,2705.27,Dec-10,1257.64
Apr 18,2648.05,Jan-11,1286.12
Mar 18,2640.87,Feb-11,1340.43
Feb 18,2713.83,Mar-11,1325.83
Jan 18,2823.81,Apr-11,1363.61
Dec 17,2673.61,May-11,1345.2
Nov 17,2647.58,Jun-11,1320.64
Oct 17,2575.26,Jul-11,1292.28
Sep 17,2519.36,Aug-11,1218.89
Aug 17,2471.65,Sep-11,1131.42
Jul 17,2470.3,Oct-11,1253.3
Jun 17,2423.41,Nov-11,1246.96
May 17,2411.8,Dec-11,1257.6
Apr 17,2384.2,Jan-12,1312.41
Mar 17,2362.72,Feb-12,1365.68
Feb 17,2363.64,Mar-12,1408.47
Jan 17,2278.87,Apr-12,1397.91
Dec 16,2238.83,May-12,1310.33
Nov 16,2198.81,Jun-12,1362.16
Oct 16,2126.15,Jul-12,1379.32
Sep 16,2168.27,Aug-12,1406.58
Aug 16,2170.95,Sep-12,1440.67
Jul 16,2173.6,Oct-12,1412.16
Jun 16,2098.86,Nov-12,1416.18
May 16,2096.96,Dec-12,1426.19
Apr 16,2065.3,Jan-13,1498.11
Mar 16,2059.74,Feb-13,1514.68
Feb 16,1932.23,Mar-13,1569.19
Jan 16,1940.24,Apr-13,1597.57
Dec 15,2043.94,May-13,1630.74
Nov 15,2080.41,Jun-13,1606.28
Oct 15,2079.36,Jul-13,1685.73
Sep 15,1920.03,Aug-13,1632.97
Aug 15,1972.18,Sep-13,1681.55
Jul 15,2103.84,Oct-13,1756.54
Jun 15,2063.11,Nov-13,1805.81
May 15,2107.39,Dec-13,1848.36
Apr 15,2085.51,Jan-14,1782.59
Mar 15,2067.89,Feb-14,1859.45
Feb 15,2104.5,Mar-14,1872.34
Jan 15,1994.99,Apr-14,1883.95
Dec 14,2058.9,May-14,1923.57
Nov 14,2067.56,Jun-14,1960.23
Oct 14,2018.05,Jul-14,1930.67
Sep 14,1972.29,Aug-14,2003.37
Aug 14,2003.37,Sep-14,1972.29
Jul 14,1930.67,Oct-14,2018.05
Jun 14,1960.23,Nov-14,2067.56
May 14,1923.57,Dec-14,2058.9
Apr 14,1883.95,Jan-15,1994.99
Mar 14,1872.34,Feb-15,2104.5
Feb 14,1859.45,Mar-15,2067.89
Jan 14,1782.59,Apr-15,2085.51
Dec 13,1848.36,May-15,2107.39
Nov 13,1805.81,Jun-15,2063.11
Oct 13,1756.54,Jul-15,2103.84
Sep 13,1681.55,Aug-15,1972.18
Aug 13,1632.97,Sep-15,1920.03
Jul 13,1685.73,Oct-15,2079.36
Jun 13,1606.28,Nov-15,2080.41
May 13,1630.74,Dec-15,2043.94
Apr 13,1597.57,Jan-16,1940.24
Mar 13,1569.19,Feb-16,1932.23
Feb 13,1514.68,Mar-16,2059.74
Jan 13,1498.11,Apr-16,2065.3
Dec 12,1426.19,May-16,2096.96
Nov 12,1416.18,Jun-16,2098.86
Oct 12,1412.16,Jul-16,2173.6
Sep 12,1440.67,Aug-16,2170.95
Aug 12,1406.58,Sep-16,2168.27
Jul 12,1379.32,Oct-16,2126.15
Jun 12,1362.16,Nov-16,2198.81
May 12,1310.33,Dec-16,2238.83
Apr 12,1397.91,Jan-17,2278.87
Mar 12,1408.47,Feb-17,2363.64
Feb 12,1365.68,Mar-17,2362.72
Jan 12,1312.41,Apr-17,2384.2
Dec 11,1257.6,May-17,2411.8
Nov 11,1246.96,Jun-17,2423.41
Oct 11,1253.3,Jul-17,2470.3
Sep 11,1131.42,Aug-17,2471.65
Aug 11,1218.89,Sep-17,2519.36
Jul 11,1292.28,Oct-17,2575.26
Jun 11,1320.64,Nov-17,2647.58
May 11,1345.2,Dec-17,2673.61
Apr 11,1363.61,Jan-18,2823.81
Mar 11,1325.83,Feb-18,2713.83
Feb 11,1340.43,Mar-18,2640.87
Jan 11,1286.12,Apr-18,2648.05
Dec 10,1257.64,May-18,2705.27
Nov 10,1180.55,Jun-18,2718.37
Oct 10,1183.26,Jul-18,2816.29
Sep 10,1141.2,Aug-18,2901.52
Aug 10,1049.33,Sep-18,2913.98
Jul 10,1101.6,Oct-18,2711.74
Jun 10,1030.71,Nov-18,2760.17
May 10,1089.41,Dec-18,2506.85
Apr 10,1186.69,Jan-19,2704.1
Mar 10,1169.43,Feb-19,2784.49
Feb 10,1104.49,Mar-19,2834.4
Jan 10,1073.87,Apr-19,2945.83
Dec 09,1115.1,May-19,2752.06
Nov 09,1095.63,Jun-19,2941.76
Oct 09,1036.19,Jul-19,2980.38
Sep 09,1057.08,Aug-19,2924.43